timestamp,symbol,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,bv1,bv2,bv3,bv4,bv5,bv6,bv7,bv8,bv9,bv10,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10
20/8/21 0:00,LINKUSDT.HB,27.1033,27.1032,27.0963,27.0962,27.0936,27.0934,27.0925,27.09,27.0894,27.089,2.97,9.99,11.32,132,40.5,95,73.78,36.91,40,95,27.107,27.1073,27.1075,27.1084,27.1092,27.1093,27.1095,27.1117,27.1119,27.1122,6.01,55.89,0.61,0.25,0.37,56.14,0.74,0.23,2.29,85.05
20/8/21 0:00,LINKUSDT.HB,27.1074,27.1041,27.0986,27.0985,27.0963,27.0962,27.0948,27.0925,27.0914,27.0895,143,40.5,15.03,10,76.22,132,36.87,73.75,40,100,27.1131,27.1132,27.1135,27.1144,27.1149,27.1157,27.1159,27.116,27.1166,27.1168,27.61,41.15,2.5,0.33,0.74,101.99,0.38,1.37,0.34,0.52
20/8/21 0:00,LINKUSDT.HB,27.1043,27.1042,27.1035,27.1007,27.0998,27.0984,27.0968,27.0965,27.0962,27.0949,95,2.16,40.5,162.41,36.86,40,24,73.75,132,16.42,27.1117,27.1118,27.1132,27.1135,27.1144,27.1149,27.1157,27.1159,27.116,27.1166,27.61,27.61,2.5,2.5,0.33,0.74,101.99,0.38,1.37,0.34
20/8/21 0:00,LINKUSDT.HB,27.1044,27.1032,27.0977,27.0962,27.0949,27.0938,27.0926,27.0895,27.0873,27.0856,5.23,40.5,36.89,132,16.42,3.16,76.65,100,54.86,36.35,27.1114,27.1189,27.119,27.1194,27.1195,27.1197,27.1203,27.1206,27.1207,27.1208,22.73151471,28.3,31.14489247,22,8.62,0.47,0.74,0.27,0.4,1.04
20/8/21 0:00,LINKUSDT.HB,27.1037,27.1036,27.1035,27.1032,27.0977,27.0962,27.0949,27.094,27.0927,27.0926,90,95,90,40.5,36.89,132,16.42,33.16,100,76.65,27.1187,27.119,27.1195,27.1197,27.1203,27.1206,27.1207,27.1208,27.1221,27.1223,27.61,3.534892474,8.62,0.47,0.74,0.27,0.4,1.04,0.87,0.6
20/8/21 0:00,LINKUSDT.HB,27.1172,27.1138,27.1137,27.1126,27.1112,27.1086,27.1058,27.1002,27.1001,27.0998,0.21,11.87,20,40.5,28.95,36.87,5,123.12,55.36,24,27.1252,27.1254,27.1255,27.1281,27.1294,27.132,27.1329,27.133,27.1333,27.1344,20.67,22,95,95,7.27,47.81,27.56,33.82216675,0.23,2.07
20/8/21 0:00,LINKUSDT.HB,27.1213,27.1181,27.1156,27.1147,27.1118,27.1089,27.1086,27.1022,27.1002,27.0996,162,45.43,95,120,20,13.52,127,16.42,123.12,38.49,27.1251,27.1252,27.129,27.1301,27.133,27.1333,27.1344,27.1345,27.1355,27.1357,23.9,23.9,5.15,95,6.262166752,0.23,2.07,0.37,0.34,8.69
20/8/21 0:00,LINKUSDT.HB,27.1213,27.1137,27.1108,27.1049,27.1048,27.1022,27.1002,27.0996,27.099,27.0973,162,20,40.5,7.73,1.85,16.42,123.12,36.35,231.93,36.88,27.1299,27.13,27.1301,27.1321,27.133,27.1333,27.1344,27.1345,27.1355,27.1357,4.85,23.9,118.9,20.25,6.262166752,0.23,2.07,0.37,0.34,8.69
20/8/21 0:00,LINKUSDT.HB,27.1213,27.1137,27.1128,27.111,27.1108,27.1105,27.1098,27.1044,27.1032,27.1022,158.58,20,36.86,6.96,40.5,73.72,40,120,136,16.42,27.1228,27.1229,27.1275,27.1276,27.1279,27.128,27.1286,27.1321,27.133,27.1333,22.25,22.25,22,2.59,22.25,22.25,95,20.25,6.262166752,0.23
20/8/21 0:00,LINKUSDT.HB,27.1137,27.1108,27.1098,27.1046,27.1045,27.1044,27.1035,27.1028,27.1022,27.1002,20,40.5,40,7.73,0.97,120,73.73,10.39,16.42,161.61,27.1211,27.1215,27.1229,27.1321,27.133,27.1333,27.1344,27.1345,27.1355,27.1357,9.52,95,95,20.25,6.262166752,0.23,2.07,0.37,0.34,8.69
